order,family,no_genera,no_species
Cycadales,Cycadaceae,1,107
Cycadales,Zamiaceae,9,230
Ginkgoales,Ginkgoaceae,1,1
Welwitschiales,Welwitschiaceae,1,1
Gnetales,Gnetaceae,1,43
Ephedrales,Ephedraceae,1,68
Pinales,Pinaceae,11,228
Araucariales,Araucariaceae,3,37
Araucariales,Podocarpaceae,19,187
Cupressales,Sciadopityaceae,1,1
Cupressales,Cupressaceae,29,149
Cupressales,Taxaceae,6,27
Amborellales,Amborellaceae,1,1
Nymphaeales,Hydatellaceae,1,12
Nymphaeales,Cabombaceae,2,6
Nymphaeales,Nymphaeaceae,5,70
Austrobaileyales,Austrobaileyaceae,1,1
Austrobaileyales,Trimeniaceae,1,8
Austrobaileyales,Schisandraceae,3,85
Canellales,Canellaceae,5,23
Canellales,Winteraceae,5,65
Piperales,Saururaceae,4,6
Piperales,Piperaceae,5,3700
Piperales,Aristolochiaceae,7,500
Magnoliales,Myristicaceae,21,520
Magnoliales,Magnoliaceae,2,294
Magnoliales,Degeneriaceae,1,2
Magnoliales,Himantandraceae,1,2
Magnoliales,Eupomatiaceae,1,3
Magnoliales,Annonaceae,105,2500
Laurales,Calycanthaceae,3,10
Laurales,Siparunaceae,2,75
Laurales,Gomortegaceae,1,1
Laurales,Atherospermataceae,6,16
Laurales,Hernandiaceae,5,58
Laurales,Monimiaceae,24,217
Laurales,Lauraceae,45,2850
Chloranthales,Chloranthaceae,4,77
Acorales,Acoraceae,1,2
Alismatales,Araceae,114,3750
Alismatales,Tofieldiaceae,4,28
Alismatales,Alismataceae,17,115
Alismatales,Butomaceae,1,1
Alismatales,Hydrocharitaceae,16,135
Alismatales,Scheuchzeriaceae,1,1
Alismatales,Aponogetonaceae,1,56
Alismatales,Juncaginaceae,3,34
Alismatales,Maundiaceae,1,1
Alismatales,Zosteraceae,2,22
Alismatales,Potamogetonaceae,6,110
Alismatales,Posidoniaceae,1,9
Alismatales,Ruppiaceae,1,8
Alismatales,Cymodoceaceae,5,17
Petrosaviales,Petrosaviaceae,2,4
Dioscoreales,Nartheciaceae,5,35
Dioscoreales,Burmanniaceae,8,99
Dioscoreales,Dioscoreaceae,9,715
Pandanales,Triuridaceae,9,55
Pandanales,Velloziaceae,5,306
Pandanales,Stemonaceae,4,37
Pandanales,Cyclanthaceae,12,230
Pandanales,Pandanaceae,5,982
Liliales,Campynemataceae,2,4
Liliales,Corsiaceae,3,27
Liliales,Melanthiaceae,17,173
Liliales,Petermanniaceae,1,1
Liliales,Alstroemeriaceae,4,254
Liliales,Colchicaceae,15,285
Liliales,Philesiaceae,2,2
Liliales,Ripogonaceae,1,6
Liliales,Smilacaceae,1,255
Liliales,Liliaceae,15,705
Asparagales,Orchidaceae,736,28000
Asparagales,Boryaceae,2,12
Asparagales,Blandfordiaceae,1,4
Asparagales,Asteliaceae,3,37
Asparagales,Lanariaceae,1,1
Asparagales,Hypoxidaceae,4,159
Asparagales,Doryanthaceae,1,2
Asparagales,Ixioliriaceae,1,4
Asparagales,Tecophilaeaceae,9,27
Asparagales,Iridaceae,66,2244
Asparagales,Xeronemataceae,1,2
Asparagales,Asphodelaceae,39,900
Asparagales,Amaryllidaceae,75,1600
Asparagales,Asparagaceae,114,2900
Arecales,Dasypogonaceae,4,16
Arecales,Arecaceae,181,2600
Commelinales,Hanguanaceae,1,12
Commelinales,Commelinaceae,41,731
Commelinales,Philydraceae,3,6
Commelinales,Pontederiaceae,6,34
Commelinales,Haemodoraceae,14,102
Zingiberales,Strelitziaceae,3,7
Zingiberales,Lowiaceae,1,18
Zingiberales,Heliconiaceae,1,194
Zingiberales,Musaceae,3,91
Zingiberales,Cannaceae,1,10
Zingiberales,Marantaceae,29,570
Zingiberales,Costaceae,7,143
Zingiberales,Zingiberaceae,50,1600
Poales,Typhaceae,2,51
Poales,Bromeliaceae,51,3475
Poales,Rapateaceae,16,94
Poales,Xyridaceae,5,399
Poales,Eriocaulaceae,7,1207
Poales,Mayacaceae,1,6
Poales,Thurniaceae,2,4
Poales,Juncaceae,8,464
Poales,Cyperaceae,90,5500
Poales,Restionaceae,51,572
Poales,Flagellariaceae,1,4
Poales,Joinvilleaceae,1,4
Poales,Ecdeiocoleaceae,2,3
Poales,Poaceae,780,12000
Ceratophyllales,Ceratophyllaceae,1,4
Ranunculales,Eupteleaceae,1,2
Ranunculales,Papaveraceae,42,775
Ranunculales,Circaeasteraceae,2,2
Ranunculales,Lardizabalaceae,7,40
Ranunculales,Menispermaceae,68,440
Ranunculales,Berberidaceae,14,700
Ranunculales,Ranunculaceae,43,2346
Proteales,Sabiaceae,3,66
Proteales,Nelumbonaceae,1,3
Proteales,Platanaceae,1,8
Proteales,Proteaceae,83,1660
Trochodendrales,Trochodendraceae,2,2
Buxales,Buxaceae,6,123
Gunnerales,Myrothamnaceae,1,2
Gunnerales,Gunneraceae,1,63
Dilleniales,Dilleniaceae,11,430
Saxifragales,Peridiscaceae,4,12
Saxifragales,Paeoniaceae,1,33
Saxifragales,Altingiaceae,1,15
Saxifragales,Hamamelidaceae,26,86
Saxifragales,Cercidiphyllaceae,1,2
Saxifragales,Daphniphyllaceae,1,30
Saxifragales,Iteaceae,2,18
Saxifragales,Grossulariaceae,1,150
Saxifragales,Saxifragaceae,33,640
Saxifragales,Crassulaceae,35,1400
Saxifragales,Aphanopetalaceae,1,2
Saxifragales,Tetracarpaeaceae,1,1
Saxifragales,Penthoraceae,1,2
Saxifragales,Haloragaceae,9,145
Saxifragales/Rosales,Cynomoriaceae,1,2
Vitales,Vitaceae,14,910
Zygophyllales,Krameriaceae,1,18
Zygophyllales,Zygophyllaceae,22,285
Fabales,Quillajaceae,1,3
Fabales,Fabaceae,751,19500
Fabales,Surianaceae,5,8
Fabales,Polygalaceae,21,900
Rosales,Rosaceae,91,2950
Rosales,Barbeyaceae,1,1
Rosales,Dirachmaceae,1,2
Rosales,Elaeagnaceae,3,60
Rosales,Rhamnaceae,55,950
Rosales,Ulmaceae,7,45
Rosales,Cannabaceae,8,100
Rosales,Moraceae,38,1180
Rosales,Urticaceae,53,2625
Fagales,Nothofagaceae,1,43
Fagales,Fagaceae,8,927
Fagales,Myricaceae,3,57
Fagales,Juglandaceae,9,50
Fagales,Casuarinaceae,4,91
Fagales,Ticodendraceae,1,1
Fagales,Betulaceae,6,167
Cucurbitales,Apodanthaceae,2,10
Cucurbitales,Anisophylleaceae,4,71
Cucurbitales,Corynocarpaceae,1,5
Cucurbitales,Coriariaceae,1,14
Cucurbitales,Cucurbitaceae,95,965
Cucurbitales,Tetramelaceae,2,2
Cucurbitales,Datiscaceae,1,3
Cucurbitales,Begoniaceae,2,1825
Celastrales,Lepidobotryaceae,2,2
Celastrales,Celastraceae,96,1350
Oxalidales,Huaceae,2,4
Oxalidales,Connaraceae,12,180
Oxalidales,Oxalidaceae,5,570
Oxalidales,Cunoniaceae,27,330
Oxalidales,Elaeocarpaceae,12,615
Oxalidales,Cephalotaceae,1,1
Oxalidales,Brunelliaceae,1,60
Malpighiales,Pandaceae,3,17
Malpighiales,Irvingiaceae,3,13
Malpighiales,Ctenolophonaceae,1,2
Malpighiales,Rhizophoraceae,15,147
Malpighiales,Erythroxylaceae,4,242
Malpighiales,Ochnaceae,32,550
Malpighiales,Bonnetiaceae,3,35
Malpighiales,Clusiaceae,13,750
Malpighiales,Calophyllaceae,14,475
Malpighiales,Podostemaceae,46,300
Malpighiales,Hypericaceae,6,590
Malpighiales,Caryocaraceae,2,26
Malpighiales,Lophopyxidaceae,1,1
Malpighiales,Putranjivaceae,2,216
Malpighiales,Centroplacaceae,2,6
Malpighiales,Elatinaceae,2,35
Malpighiales,Malpighiaceae,73,1315
Malpighiales,Balanopaceae,1,9
Malpighiales,Trigoniaceae,5,28
Malpighiales,Dichapetalaceae,3,170
Malpighiales,Euphroniaceae,1,3
Malpighiales,Chrysobalanaceae,18,533
Malpighiales,Humiriaceae,8,56
Malpighiales,Achariaceae,32,155
Malpighiales,Violaceae,31,980
Malpighiales,Goupiaceae,1,2
Malpighiales,Passifloraceae,29,980
Malpighiales,Lacistemataceae,2,14
Malpighiales,Salicaceae,56,1220
Malpighiales,Peraceae,5,127
Malpighiales,Rafflesiaceae,3,25
Malpighiales,Euphorbiaceae,209,6252
Malpighiales,Linaceae,10,255
Malpighiales,Ixonanthaceae,3,17
Malpighiales,Picrodendraceae,25,96
Malpighiales,Phyllanthaceae,57,2050
Geraniales,Geraniaceae,5,830
Geraniales,Francoaceae,8,37
Myrtales,Combretaceae,10,530
Myrtales,Lythraceae,27,620
Myrtales,Onagraceae,22,656
Myrtales,Vochysiaceae,7,217
Myrtales,Myrtaceae,132,5950
Myrtales,Melastomataceae,165,5115
Myrtales,Crypteroniaceae,3,13
Myrtales,Alzateaceae,1,1
Myrtales,Penaeaceae,9,32
Crossosomatales,Aphloiaceae,1,1
Crossosomatales,Geissolomataceae,1,1
Crossosomatales,Strasburgeriaceae,2,2
Crossosomatales,Staphyleaceae,2,45
Crossosomatales,Guamatelaceae,1,1
Crossosomatales,Stachyuraceae,1,8
Crossosomatales,Crossosomataceae,4,10
Picramniales,Picramniaceae,3,49
Sapindales,Biebersteiniaceae,1,4
Sapindales,Nitrariaceae,3,19
Sapindales,Kirkiaceae,1,6
Sapindales,Burseraceae,19,615
Sapindales,Anacardiaceae,83,860
Sapindales,Sapindaceae,142,1860
Sapindales,Rutaceae,148,2070
Sapindales,Simaroubaceae,22,108
Sapindales,Meliaceae,53,600
Huerteales,Gerrardinaceae,1,2
Huerteales,Petenaeaceae,1,1
Huerteales,Tapisciaceae,2,6
Huerteales,Dipentodontaceae,2,20
Malvales,Cytinaceae,2,10
Malvales,Muntingiaceae,3,3
Malvales,Neuradaceae,3,10
Malvales,Malvaceae,244,4225
Malvales,Sphaerosepalaceae,2,18
Malvales,Thymelaeaceae,46,913
Malvales,Bixaceae,4,23
Malvales,Cistaceae,9,170
Malvales,Sarcolaenaceae,10,71
Malvales,Dipterocarpaceae,16,695
Brassicales,Akaniaceae,2,2
Brassicales,Tropaeolaceae,1,94
Brassicales,Moringaceae,1,13
Brassicales,Caricaceae,6,35
Brassicales,Limnanthaceae,2,8
Brassicales,Setchellanthaceae,1,1
Brassicales,Koeberliniaceae,1,2
Brassicales,Bataceae,1,2
Brassicales,Salvadoraceae,3,11
Brassicales,Emblingiaceae,1,1
Brassicales,Tovariaceae,1,2
Brassicales,Pentadiplandraceae,1,1
Brassicales,Gyrostemonaceae,4,20
Brassicales,Resedaceae,12,107
Brassicales,Capparaceae,30,324
Brassicales,Cleomaceae,1,346
Brassicales,Brassicaceae,328,3628
Berberidopsidales,Aextoxicaceae,1,1
Berberidopsidales,Berberidopsidaceae,2,3
Santalales,Olacaceae,29,180
Santalales,Opiliaceae,11,33
Santalales,Balanophoraceae,17,44
Santalales,Santalaceae,43,1000
Santalales,Misodendraceae,1,8
Santalales,Schoepfiaceae,3,58
Santalales,Loranthaceae,76,1050
Caryophyllales,Frankeniaceae,1,90
Caryophyllales,Tamaricaceae,4,78
Caryophyllales,Plumbaginaceae,30,725
Caryophyllales,Polygonaceae,48,1200
Caryophyllales,Droseraceae,3,180
Caryophyllales,Nepenthaceae,1,150
Caryophyllales,Drosophyllaceae,1,1
Caryophyllales,Dioncophyllaceae,3,3
Caryophyllales,Ancistrocladaceae,1,21
Caryophyllales,Rhabdodendraceae,1,3
Caryophyllales,Simmondsiaceae,1,1
Caryophyllales,Physenaceae,1,2
Caryophyllales,Asteropeiaceae,1,8
Caryophyllales,Macarthuriaceae,1,10
Caryophyllales,Microteaceae,1,9
Caryophyllales,Caryophyllaceae,81,2625
Caryophyllales,Achatocarpaceae,2,11
Caryophyllales,Amaranthaceae,165,2040
Caryophyllales,Stegnospermataceae,1,4
Caryophyllales,Limeaceae,1,21
Caryophyllales,Lophiocarpaceae,2,6
Caryophyllales,Kewaceae,1,8
Caryophyllales,Barbeuiaceae,1,1
Caryophyllales,Gisekiaceae,1,8
Caryophyllales,Aizoaceae,121,1900
Caryophyllales,Phytolaccaceae,5,33
Caryophyllales,Petiveriaceae,9,20
Caryophyllales,Sarcobataceae,1,2
Caryophyllales,Nyctaginaceae,31,400
Caryophyllales,Molluginaceae,9,80
Caryophyllales,Montiaceae,14,230
Caryophyllales,Didiereaceae,7,22
Caryophyllales,Basellaceae,4,19
Caryophyllales,Halophytaceae,1,1
Caryophyllales,Talinaceae,2,28
Caryophyllales,Portulacaceae,1,115
Caryophyllales,Anacampserotaceae,3,36
Caryophyllales,Cactaceae,127,1750
Cornales,Nyssaceae,5,37
Cornales,Hydrostachyaceae,1,22
Cornales,Hydrangeaceae,9,223
Cornales,Loasaceae,20,308
Cornales,Curtisiaceae,1,1
Cornales,Grubbiaceae,1,3
Cornales,Cornaceae,2,85
Ericales,Balsaminaceae,2,1000
Ericales,Marcgraviaceae,7,120
Ericales,Tetrameristaceae,3,5
Ericales,Fouquieriaceae,1,11
Ericales,Polemoniaceae,26,350
Ericales,Lecythidaceae,25,355
Ericales,Sladeniaceae,2,3
Ericales,Pentaphylacaceae,12,330
Ericales,Sapotaceae,54,1273
Ericales,Ebenaceae,4,800
Ericales,Primulaceae,53,2790
Ericales,Theaceae,9,240
Ericales,Symplocaceae,2,260
Ericales,Diapensiaceae,5,12
Ericales,Styracaceae,11,160
Ericales,Sarraceniaceae,3,34
Ericales,Roridulaceae,1,2
Ericales,Actinidiaceae,3,360
Ericales,Clethraceae,2,75
Ericales,Cyrillaceae,2,2
Ericales,Ericaceae,124,4250
Ericales,Mitrastemonaceae,1,2
Icacinales,Oncothecaceae,1,2
Icacinales,Icacinaceae,25,165
Metteniusales,Metteniusaceae,11,50
Garryales,Eucommiaceae,1,1
Garryales,Garryaceae,2,25
Gentianales,Rubiaceae,590,13620
Gentianales,Gentianaceae,102,1735
Gentianales,Loganiaceae,15,390
Gentianales,Gelsemiaceae,3,11
Gentianales,Apocynaceae,366,5100
Gentianales,Boraginaceae,135,2535
Vahliales,Vahliaceae,1,8
Solanales,Convolvulaceae,53,1660
Solanales,Solanaceae,100,2600
Solanales,Montiniaceae,3,5
Solanales,Sphenocleaceae,1,2
Solanales,Hydroleaceae,1,12
Lamiales,Plocospermataceae,1,1
Lamiales,Carlemanniaceae,2,5
Lamiales,Oleaceae,26,790
Lamiales,Tetrachondraceae,2,3
Lamiales,Calceolariaceae,2,271
Lamiales,Gesneriaceae,152,3540
Lamiales,Plantaginaceae,94,1900
Lamiales,Scrophulariaceae,62,1830
Lamiales,Stilbaceae,8,40
Lamiales,Linderniaceae,23,220
Lamiales,Byblidaceae,1,7
Lamiales,Martyniaceae,5,16
Lamiales,Pedaliaceae,13,75
Lamiales,Acanthaceae,210,4000
Lamiales,Bignoniaceae,82,870
Lamiales,Lentibulariaceae,3,316
Lamiales,Schlegeliaceae,4,37
Lamiales,Thomandersiaceae,1,6
Lamiales,Verbenaceae,32,1000
Lamiales,Lamiaceae,241,7530
Lamiales,Mazaceae,3,33
Lamiales,Phrymaceae,13,186
Lamiales,Paulowniaceae,3,8
Lamiales,Orobanchaceae,98,1960
Aquifoliales,Stemonuraceae,12,90
Aquifoliales,Cardiopteridaceae,5,43
Aquifoliales,Phyllonomaceae,1,4
Aquifoliales,Helwingiaceae,1,4
Aquifoliales,Aquifoliaceae,1,500
Asterales,Rousseaceae,4,6
Asterales,Campanulaceae,81,2300
Asterales,Pentaphragmataceae,1,30
Asterales,Stylidiaceae,6,245
Asterales,Alseuosmiaceae,5,13
Asterales,Phellinaceae,1,12
Asterales,Argophyllaceae,2,21
Asterales,Menyanthaceae,6,60
Asterales,Goodeniaceae,12,440
Asterales,Calyceraceae,4,60
Asterales,Asteraceae,1623,24700
Escalloniales,Escalloniaceae,7,103
Bruniales,Columelliaceae,2,8
Bruniales,Bruniaceae,6,81
Paracryphiales,Paracryphiaceae,3,36
Dipsacales,Adoxaceae,5,225
Dipsacales,Caprifoliaceae,28,825
Apiales,Pennantiaceae,1,4
Apiales,Torricelliaceae,3,10
Apiales,Griseliniaceae,1,7
Apiales,Pittosporaceae,7,245
Apiales,Araliaceae,43,1650
Apiales,Myodocarpaceae,2,15
Apiales,Apiaceae,442,3575
